"","SampleSize","Method","Activity"
"169",20,"Ratio",14.0440419384144
"170",30,"Ratio",13.1813441967206
"171",3,"Ratio",15.3776683087028
"172",6,"Ratio",14.7650653305826
"173",10,"Ratio",12.3250667729255
"174",20,"Ratio",13.4601067117165
"175",30,"Ratio",14.0306923452535
"176",3,"Ratio",15.9973063973064
"177",6,"Ratio",13.6261904761905
"178",10,"Ratio",13.703996266606
"179",20,"Ratio",12.9951783848336
"180",30,"Ratio",13.4989320768772
"181",3,"Ratio",11.8510101010101
"182",6,"Ratio",13.9594788975022
"183",10,"Ratio",14.7213761524207
"184",20,"Ratio",13.1936667895139
"185",30,"Ratio",13.1595038576994
"186",3,"Ratio",14.2851851851852
"187",6,"Ratio",11.9491235845381
"188",10,"Ratio",14.8150840705189
"189",20,"Ratio",13.2243574211992
"190",30,"Ratio",13.1117813675777
"191",3,"Ratio",16.5407407407407
"192",6,"Ratio",12.367737419545
"193",10,"Ratio",12.3295447563189
"194",20,"Ratio",13.2735040421229
"195",30,"Ratio",13.836237813181
"196",3,"Ratio",15.6933333333333
"197",6,"Ratio",13.6452452565356
"198",10,"Ratio",14.0122057708785
"199",20,"Ratio",12.8814580926216
"200",30,"Ratio",13.3345419568149
"201",3,"Ratio",15.7252873563218
"202",6,"Ratio",15.9466666666667
"203",10,"Ratio",13.9091334808786
"204",20,"Ratio",12.9460997850913
"205",30,"Ratio",13.5698169803987
"206",3,"Ratio",13.6025641025641
"207",6,"Ratio",13.7082491582492
"208",10,"Ratio",12.6699397703746
"209",20,"Ratio",13.4098436552276
"210",30,"Ratio",13.3456806727482
"211",3,"Ratio",12.1124796350603
"212",6,"Ratio",14.4361430035343
"213",10,"Ratio",11.2229153005034
"214",20,"Ratio",13.5527908979284
"215",30,"Ratio",13.0616230883122
"216",3,"Ratio",15.8141762452107
"217",6,"Ratio",15.5926912887642
"218",10,"Ratio",12.883615062824
"219",20,"Ratio",12.6574305823376
"220",30,"Ratio",14.4821058634311
"221",3,"Ratio",14.9666666666667
"222",6,"Ratio",14.0259583284239
"223",10,"Ratio",11.5618686868687
"224",20,"Ratio",14.2354915989687
"225",30,"Ratio",14.697681119229
"226",3,"Ratio",10.0007122507123
"227",6,"Ratio",12.7426652527395
"228",10,"Ratio",12.805380952381
"229",20,"Ratio",13.6707536294311
"230",30,"Ratio",13.862294982935
"231",3,"Ratio",15.0768555116381
"232",6,"Ratio",15.5140404040404
"233",10,"Ratio",13.9007571354224
"234",20,"Ratio",12.9479981259051
"235",30,"Ratio",12.5315088932601
"236",3,"Ratio",11.8518518518519
"237",6,"Ratio",13.9852073402816
"238",10,"Ratio",14.474464924385
"239",20,"Ratio",12.7899162210829
"240",30,"Ratio",13.0833409170187
"241",3,"Ratio",14.5185185185185
"242",6,"Ratio",14.0473817647731
"243",10,"Ratio",12.8353579312962
"244",20,"Ratio",14.1384345408639
"245",30,"Ratio",13.2626239482982
"246",3,"Ratio",12.9086496434323
"247",6,"Ratio",12.4132550922283
"248",10,"Ratio",14.4711185915534
"249",20,"Ratio",13.1236384577482
"250",30,"Ratio",12.5963012523991
"251",3,"Ratio",12.0709401709402
"252",6,"Ratio",14.5278906955736
"253",10,"Ratio",14.079828631139
"254",20,"Ratio",12.9078299094289
"255",30,"Ratio",12.8991416633863
"256",3,"Ratio",14.9351851851852
"257",6,"Ratio",12.6400793650794
"258",10,"Ratio",13.4231191818934
"259",20,"Ratio",12.9939517149517
"260",30,"Ratio",12.0609933460802
"261",3,"Ratio",14.1296296296296
"262",6,"Ratio",13.5780699070432
"263",10,"Ratio",12.4664916431859
"264",20,"Ratio",14.800003387336
"265",30,"Ratio",13.3688937306449
"266",3,"Ratio",13.3697318007663
"267",6,"Ratio",12.5130142804056
"268",10,"Ratio",14.4427780838226
"269",20,"Ratio",12.2975976580668
"270",30,"Ratio",13.5777325629716
"271",3,"Ratio",13.6052836052836
"272",6,"Ratio",13.8212315462315
"273",10,"Ratio",11.52619605201
"274",20,"Ratio",12.8899395049395
"275",30,"Ratio",13.8648945409094
"276",3,"Ratio",15.3322222222222
"277",6,"Ratio",14.9240338164251
"278",10,"Ratio",15.5785574578678
"279",20,"Ratio",13.1516898701391
"280",30,"Ratio",13.1857774142448
"281",3,"Ratio",11.8781362007168
"282",6,"Ratio",13.2773610447523
"283",10,"Ratio",11.5168376068376
"284",20,"Ratio",12.5566921488473
"285",30,"Ratio",12.4420682950627
"286",3,"Ratio",9.73095238095238
"287",6,"Ratio",12.0378787878788
"288",10,"Ratio",13.0078298368298
"289",20,"Ratio",12.5102905950847
"290",30,"Ratio",13.6632084566773
"291",3,"Ratio",14.4931216931217
"292",6,"Ratio",11.1825468438372
"293",10,"Ratio",13.697182194617
"294",20,"Ratio",13.1621647999697
"295",30,"Ratio",13.1960598324157
"296",3,"Ratio",15.0969696969697
"297",6,"Ratio",14.4688888888889
"298",10,"Ratio",14.3652607951809
"299",20,"Ratio",13.2633626667978
"300",30,"Ratio",13.1048652637319
"301",3,"Ratio",15.693265993266
"302",6,"Ratio",12.3395731508635
"303",10,"Ratio",13.9989501915709
"304",20,"Ratio",14.8745038315937
"305",30,"Ratio",13.2829044931492
"306",3,"Ratio",10.3081196581197
"307",6,"Ratio",10.9553825803826
"308",10,"Ratio",13.023041958042
"309",20,"Ratio",12.6514236789659
"310",30,"Ratio",13.4079684662132
"311",3,"Ratio",12.0566544566545
"312",6,"Ratio",14.5631419258249
"313",10,"Ratio",11.8526196432294
"314",20,"Ratio",13.8235459042178
"315",30,"Ratio",13.4157321839769
"316",3,"Ratio",13.9919540229885
"317",6,"Ratio",10.8944647944648
"318",10,"Ratio",12.7404645760743
"319",20,"Ratio",12.8174208185198
"320",30,"Ratio",13.1034332253897
"321",3,"Ratio",10.3052646278453
"322",6,"Ratio",16.014555701947
"323",10,"Ratio",15.5112593703148
"324",20,"Ratio",13.7774633424234
"325",30,"Ratio",13.023078854977
"326",3,"Ratio",14.4388888888889
"327",6,"Ratio",11.6060245987075
"328",10,"Ratio",11.8760328818468
"329",20,"Ratio",13.4658295114847
"330",30,"Ratio",13.0170890932453
"331",3,"Ratio",13.1771618625277
"332",6,"Ratio",17.1401021711367
"333",10,"Ratio",14.2539614982718
"334",20,"Ratio",13.9115744535345
"335",30,"Ratio",13.7881082206915
"336",3,"Ratio",15.9332238642583
"337",6,"Ratio",12.4436557886558
"338",10,"Ratio",15.2243605019196
"339",20,"Ratio",14.1153848378049
"340",30,"Ratio",13.9343891484188
"341",3,"Ratio",12.6318534178999
"342",6,"Ratio",14.744058446967
"343",10,"Ratio",13.7396198234783
"344",20,"Ratio",12.8569611202751
"345",30,"Ratio",12.4217490566511
"346",3,"Ratio",12.8487179487179
"347",6,"Ratio",12.7274082197995
"348",10,"Ratio",14.0110238127689
"349",20,"Ratio",12.4662733433778
"350",30,"Ratio",13.6924544028379
"351",3,"Ratio",12.5597402597403
"352",6,"Ratio",13.2946243370156
"353",10,"Ratio",14.1491923890063
"354",20,"Ratio",12.8084882416434
"355",30,"Ratio",12.3396392705849
"356",3,"Ratio",11.7876068376068
"357",6,"Ratio",11.8273063973064
"358",10,"Ratio",13.4880274154223
"359",20,"Ratio",13.2144425351544
"360",30,"Ratio",13.2344496820693
"361",3,"Ratio",14.6666666666667
"362",6,"Ratio",12.8007244862417
"363",10,"Ratio",13.1754146112286
"364",20,"Ratio",12.6418954814746
"365",30,"Ratio",13.2475742425613
"366",3,"Ratio",12.3322222222222
"367",6,"Ratio",14.8260716364862
"368",10,"Ratio",14.3330407523511
"369",20,"Ratio",12.8192801771872
"370",30,"Ratio",12.8218861885436
"371",3,"Ratio",13.1061253561254
"372",6,"Ratio",14.8740706569792
"373",10,"Ratio",14.2440295260295
"374",20,"Ratio",14.1640930789795
"375",30,"Ratio",12.9583795600877
"376",3,"Ratio",10.8412698412698
"377",6,"Ratio",11.1741878922111
"378",10,"Ratio",13.0285832316062
"379",20,"Ratio",12.5669332743003
"380",30,"Ratio",13.4922989719334
"381",3,"Ratio",13.302560488607
"382",6,"Ratio",12.1613109113109
"383",10,"Ratio",12.3730347430347
"384",20,"Ratio",14.1545457670902
"385",30,"Ratio",11.8698970688632
"386",3,"Ratio",13.0555555555556
"387",6,"Ratio",12.5624348551178
"388",10,"Ratio",12.5878041282389
"389",20,"Ratio",12.5712356021848
"390",30,"Ratio",13.5114260883866
"391",3,"Ratio",14.1983739837398
"392",6,"Ratio",11.4491064491064
"393",10,"Ratio",14.5939090909091
"394",20,"Ratio",13.2479913271011
"395",30,"Ratio",14.0812902921095
"396",3,"Ratio",10.5414141414141
"397",6,"Ratio",12.9671370525516
"398",10,"Ratio",12.5402511228609
"399",20,"Ratio",13.4132628611698
"400",30,"Ratio",12.2473787214727
"401",3,"Ratio",10.5997479223286
"402",6,"Ratio",12.604551557649
"403",10,"Ratio",13.4292549402995
"404",20,"Ratio",13.2485105095019
"405",30,"Ratio",13.2410458370268
"406",3,"Ratio",14.2012698412698
"407",6,"Ratio",15.3327809482982
"408",10,"Ratio",11.9787062937063
"409",20,"Ratio",12.6399177763839
"410",30,"Ratio",13.1083662765224
"411",3,"Ratio",11.9454545454545
"412",6,"Ratio",14.631660692951
"413",10,"Ratio",12.8764816125662
"414",20,"Ratio",12.170208659333
"415",30,"Ratio",13.7306738088956
"416",3,"Ratio",13.3910710119001
"417",6,"Ratio",13.4486531986532
"418",10,"Ratio",13.3908153880531
"419",20,"Ratio",14.0690036536225
"420",30,"Ratio",14.046903568773
"421",3,"Ratio",12.3106060606061
"422",6,"Ratio",13.6263949690779
"423",10,"Ratio",12.8175115995116
"424",20,"Ratio",12.9221753246753
"425",30,"Ratio",12.8306756067585
"426",3,"Ratio",13.2080808080808
"427",6,"Ratio",13.4177212990116
"428",10,"Ratio",12.3308253264351
"429",20,"Ratio",13.1573538537209
"430",30,"Ratio",12.6964526257827
"431",3,"Ratio",13.6048287755605
"432",6,"Ratio",14.2114478114478
"433",10,"Ratio",13.2808585858586
"434",20,"Ratio",12.7780360589232
"435",30,"Ratio",13.7550086472667
"436",3,"Ratio",12.8305171530978
"437",6,"Ratio",13.9941625228441
"438",10,"Ratio",13.1414586636676
"439",20,"Ratio",13.3225812929483
"440",30,"Ratio",12.7370345046541
"441",3,"Ratio",14.6611111111111
"442",6,"Ratio",11.8505494505495
"443",10,"Ratio",12.8094156250254
"444",20,"Ratio",13.7991903519699
"445",30,"Ratio",13.8122852098218
"446",3,"Ratio",12.4914475768134
"447",6,"Ratio",13.136396011396
"448",10,"Ratio",11.7229861655959
"449",20,"Ratio",13.6152681487282
"450",30,"Ratio",13.5432171272529
"451",3,"Ratio",13.6845466155811
"452",6,"Ratio",11.8912760775664
"453",10,"Ratio",12.3582517482517
"454",20,"Ratio",13.2474444444444
"455",30,"Ratio",14.1895603415619
"456",3,"Ratio",12.2722222222222
"457",6,"Ratio",12.0424436674437
"458",10,"Ratio",11.5403730391472
"459",20,"Ratio",14.1102419786114
"460",30,"Ratio",13.7252908118668
"461",3,"Ratio",13.2954545454545
"462",6,"Ratio",14.7438058748404
"463",10,"Ratio",13.7473510487748
"464",20,"Ratio",12.0037379385344
"465",30,"Ratio",13.6074692754857
"466",3,"Ratio",12.6901320901321
"467",6,"Ratio",12.7347030209933
"468",10,"Ratio",14.0358413109656
"469",20,"Ratio",12.5468287803455
"470",30,"Ratio",13.9882711428021
"471",3,"Ratio",15.5777777777778
"472",6,"Ratio",14.1169082908815
"473",10,"Ratio",11.9576057534197
"474",20,"Ratio",14.4435100954448
"475",30,"Ratio",12.5933180744593
"476",3,"Ratio",14.4387878787879
"477",6,"Ratio",13.5885239559153
"478",10,"Ratio",14.6448084291188
"479",20,"Ratio",14.5560332063406
"480",30,"Ratio",12.5351131179529
"481",3,"Ratio",13.9614695340502
"482",6,"Ratio",13.6654990767894
"483",10,"Ratio",13.1857700918146
"484",20,"Ratio",12.9499913253077
"485",30,"Ratio",12.7085569020352
"486",3,"Ratio",15.2565656565657
"487",6,"Ratio",12.495066045066
"488",10,"Ratio",13.0210115986554
"489",20,"Ratio",14.4984848132897
"490",30,"Ratio",13.1733028974385
"491",3,"Ratio",11.5363247863248
"492",6,"Ratio",12.6162452792685
"493",10,"Ratio",11.9058582786722
"494",20,"Ratio",13.1663078847173
"495",30,"Ratio",13.0971857310428
"496",3,"Ratio",12.2888888888889
"497",6,"Ratio",12.8634032634033
"498",10,"Ratio",13.0659734010977
"499",20,"Ratio",14.4731633323976
"500",30,"Ratio",13.8864874985704
"501",3,"Ratio",12.7211007297279
"502",6,"Ratio",11.0474081904314
"503",10,"Ratio",12.0959968068108
"504",20,"Ratio",13.6240475806465
"505",30,"Ratio",13.5221430044626
"506",3,"Ratio",10.7055555555556
"507",6,"Ratio",14.0515438942268
"508",10,"Ratio",13.8599963369963
"509",20,"Ratio",14.2278712340487
"510",30,"Ratio",13.0798176005857
"511",3,"Ratio",15.1539295392954
"512",6,"Ratio",12.7811397595776
"513",10,"Ratio",15.224116850891
"514",20,"Ratio",13.7990209114557
"515",30,"Ratio",13.4810520684856
"516",3,"Ratio",11.1565656565657
"517",6,"Ratio",12.2111111111111
"518",10,"Ratio",11.6161649719789
"519",20,"Ratio",12.9860991785992
"520",30,"Ratio",13.456856066916
"521",3,"Ratio",12.1944444444444
"522",6,"Ratio",12.117227659619
"523",10,"Ratio",14.3559807376086
"524",20,"Ratio",13.3670347263511
"525",30,"Ratio",14.4453742502969
"526",3,"Ratio",12.2365079365079
"527",6,"Ratio",13.3314369104102
"528",10,"Ratio",12.3550565456049
"529",20,"Ratio",14.0983044586715
"530",30,"Ratio",13.3570203985912
"531",3,"Ratio",15.7286770140429
"532",6,"Ratio",14.8554365133451
"533",10,"Ratio",12.8359956709957
"534",20,"Ratio",13.4219877547926
"535",30,"Ratio",12.7266401404348
"536",3,"Ratio",13.75
"537",6,"Ratio",13.3584054834055
"538",10,"Ratio",16.6261439583239
"539",20,"Ratio",13.5798495802166
"540",30,"Ratio",13.0869224516588
"541",3,"Ratio",14.2855436081243
"542",6,"Ratio",13.1617399407132
"543",10,"Ratio",13.8055339511437
"544",20,"Ratio",13.0456042050226
"545",30,"Ratio",13.9096599814659
"546",3,"Ratio",13.8005698005698
"547",6,"Ratio",14.938641754159
"548",10,"Ratio",14.1285906046351
"549",20,"Ratio",12.8477998157491
"550",30,"Ratio",12.7685109819103
"551",3,"Ratio",12.6160173160173
"552",6,"Ratio",12.1065656565657
"553",10,"Ratio",13.4539060779688
"554",20,"Ratio",13.604778852013
"555",30,"Ratio",12.9689198714565
"556",3,"Ratio",13.548608479643
"557",6,"Ratio",11.5083134257047
"558",10,"Ratio",14.5032492893338
"559",20,"Ratio",13.510455670766
"560",30,"Ratio",13.6317478320525
"561",3,"Ratio",11.2766381766382
"562",6,"Ratio",12.9649206349206
"563",10,"Ratio",12.4179914529915
"564",20,"Ratio",13.769436218371
"565",30,"Ratio",14.5817869133568
"566",3,"Ratio",11.716810966811
"567",6,"Ratio",15.4011879840965
"568",10,"Ratio",11.4495324353066
"569",20,"Ratio",13.0346734967947
"570",30,"Ratio",12.2503141088302
"571",3,"Ratio",14.4286770140429
"572",6,"Ratio",11.6841085271318
"573",10,"Ratio",12.4033257261445
"574",20,"Ratio",14.0104082085127
"575",30,"Ratio",14.9296956432507
"576",3,"Ratio",14.9194598504943
"577",6,"Ratio",13.1566728402133
"578",10,"Ratio",12.1523079143079
"579",20,"Ratio",13.7952797828642
"580",30,"Ratio",13.2406765132279
