"","SampleSize","Method","Activity","StdDev","Lower","Upper","StdErr","CILower","CIUpper"
"1",3,"Ratio",13.3278036037157,1.72229574619015,11.6055078575255,15.0500993499058,0.0544637736238014,10.2314454548466,16.7591683940612
"2",6,"Ratio",13.2503821497974,1.27186296583644,11.9785191839609,14.5222451156338,0.0402198384366007,10.9480784463446,15.8267861335313
"3",10,"Ratio",13.3119482274808,0.974963939540926,12.3369842879398,14.2869121670217,0.0308310668548002,11.4490141646884,15.2241229421668
"4",20,"Ratio",13.2967418963366,0.694303639405105,12.6024382569315,13.9910455357417,0.0219558088826437,12.0045056095209,14.7338731573125
"5",30,"Ratio",13.254897520877,0.58216850859729,12.6727290122797,13.8370660294743,0.0184097846919075,12.1349532843304,14.4641853138587
"6",3,"LSQ",13.1832289043932,2.04328896584756,11.1399399385457,15.2265178702408,0.0646144704996828,9.91569135856786,17.9674380649481
"7",6,"LSQ",12.861622372549,1.63561654787324,11.2260058246758,14.4972389204223,0.0517227366994127,10.2518359214013,16.3803371533935
"8",10,"LSQ",12.7871956571509,1.31283395739875,11.4743616997521,14.1000296145496,0.0415154549499252,10.5900086544924,15.6978808788463
"9",20,"LSQ",12.6139920240583,0.945573498889994,11.6684185251683,13.5595655229483,0.0299016595158708,11.0048323230844,14.5048834962359
"10",30,"LSQ",12.5945897158307,0.767503794317301,11.8270859215134,13.362093510148,0.0242706010286407,11.2627209090258,14.1418546725758
"11",3,"EIV",13.422980840514,2.13415680421655,11.2888240362974,15.5571376447305,0.0674879638527033,9.91583635057347,18.5979378597886
"12",6,"EIV",13.2414082271314,1.76303577208792,11.4783724550435,15.0044439992194,0.0557520863615135,10.3764918546059,17.1264802103493
"13",10,"EIV",13.2399058266635,1.41240749092696,11.8274983357365,14.6523133175905,0.0446642465561279,10.7823073523863,16.2951822165517
"14",20,"EIV",13.1140672212942,1.02256478381305,12.0915024374811,14.1366320051072,0.0323363377192691,11.316662462212,15.1857625248005
"15",30,"EIV",13.1020944549541,0.83140757815341,12.2706868768007,13.9335020331076,0.0262914161088923,11.6167645475466,14.7436517620139
"16",3,"REIV",13.5007534413699,2.12696114078627,11.3737923005837,15.6277145821562,0.0672604169955466,10.0107321039727,18.6689859930942
"17",6,"REIV",13.3189245658182,1.75742935588888,11.5614952099294,15.0763539217071,0.0555747959145152,10.4755748971073,17.1840620435486
"18",10,"REIV",13.3198208230458,1.40732122731203,11.9124995957338,14.7271420503578,0.0445034047780959,10.8774730035364,16.3711434759727
"19",20,"REIV",13.1982768882765,1.01722138428929,12.1810555039872,14.2154982725658,0.0321673645898359,11.4221168749759,15.2356603525856
"20",30,"REIV",13.1834034994365,0.825623824552136,12.3577796748843,14.0090273239886,0.02610851776084,11.7051427510088,14.8230952133328
