"","SampleSize","Method","Activity"
"169",20,"Ratio",15.1753499278499
"170",30,"Ratio",15.0796321241483
"171",3,"Ratio",14.3666666666667
"172",6,"Ratio",14.2383190883191
"173",10,"Ratio",14.3908125208125
"174",20,"Ratio",14.4250054112554
"175",30,"Ratio",17.0208932997914
"176",3,"Ratio",18.702380952381
"177",6,"Ratio",17.3489417989418
"178",10,"Ratio",18.3050104493208
"179",20,"Ratio",16.1866890681004
"180",30,"Ratio",15.8055423368821
"181",3,"Ratio",19.1944444444444
"182",6,"Ratio",19.437037037037
"183",10,"Ratio",14.834246031746
"184",20,"Ratio",17.1993768208062
"185",30,"Ratio",14.7515002405002
"186",3,"Ratio",13.0666666666667
"187",6,"Ratio",16.1396825396825
"188",10,"Ratio",15.657953055337
"189",20,"Ratio",15.2943759589985
"190",30,"Ratio",15.087677045177
"191",3,"Ratio",15.4914141414141
"192",6,"Ratio",14.75
"193",10,"Ratio",15.2910555555556
"194",20,"Ratio",14.7977208767431
"195",30,"Ratio",15.9900701051748
"196",3,"Ratio",11.952380952381
"197",6,"Ratio",15.8879365079365
"198",10,"Ratio",14.4407142857143
"199",20,"Ratio",13.5252519642194
"200",30,"Ratio",16.8680513581709
"201",3,"Ratio",20.2777777777778
"202",6,"Ratio",19.1039682539683
"203",10,"Ratio",19.3994141414141
"204",20,"Ratio",15.9955897009967
"205",30,"Ratio",16.0795149427025
"206",3,"Ratio",13.1026492886958
"207",6,"Ratio",12.9322751322751
"208",10,"Ratio",15.7623481116585
"209",20,"Ratio",15.1780616605617
"210",30,"Ratio",16.9835559106971
"211",3,"Ratio",14.1232323232323
"212",6,"Ratio",13.3808076613309
"213",10,"Ratio",13.1376392961877
"214",20,"Ratio",17.2069597701149
"215",30,"Ratio",16.0907803082586
"216",3,"Ratio",13.8666666666667
"217",6,"Ratio",13.6121031746032
"218",10,"Ratio",17.0375862068966
"219",20,"Ratio",16.6110317460317
"220",30,"Ratio",15.4910945058526
"221",3,"Ratio",12.0222222222222
"222",6,"Ratio",20.1166666666667
"223",10,"Ratio",17.3416666666667
"224",20,"Ratio",17.5552380952381
"225",30,"Ratio",17.385274461311
"226",3,"Ratio",15.5333333333333
"227",6,"Ratio",18.2222222222222
"228",10,"Ratio",13.6107565321802
"229",20,"Ratio",15.9832031140902
"230",30,"Ratio",15.4006776207972
"231",3,"Ratio",13.5
"232",6,"Ratio",14.502886002886
"233",10,"Ratio",16.4662971175166
"234",20,"Ratio",15.8794859978731
"235",30,"Ratio",14.8045128626163
"236",3,"Ratio",14.8604951958611
"237",6,"Ratio",19.8089092140921
"238",10,"Ratio",18.9035714285714
"239",20,"Ratio",16.8988132843356
"240",30,"Ratio",15.8038894438894
"241",3,"Ratio",10
"242",6,"Ratio",16.7746031746032
"243",10,"Ratio",12.6475423401305
"244",20,"Ratio",17.3194660894661
"245",30,"Ratio",17.4701972004419
"246",3,"Ratio",17.3599326599327
"247",6,"Ratio",19.45
"248",10,"Ratio",13.8475434243176
"249",20,"Ratio",16.7816722677622
"250",30,"Ratio",20.5205699991066
"251",3,"Ratio",23.3044444444444
"252",6,"Ratio",20.2524940262843
"253",10,"Ratio",17.0262820512821
"254",20,"Ratio",17.1772975487045
"255",30,"Ratio",15.8216628556629
"256",3,"Ratio",14.2222222222222
"257",6,"Ratio",16.9540404040404
"258",10,"Ratio",17.2983882783883
"259",20,"Ratio",15.3854237558307
"260",30,"Ratio",16.3899058165458
"261",3,"Ratio",16.7225806451613
"262",6,"Ratio",18.9791666666667
"263",10,"Ratio",19.6894047619048
"264",20,"Ratio",16.1405040583784
"265",30,"Ratio",15.2865452926282
"266",3,"Ratio",16.6650406504065
"267",6,"Ratio",16.4
"268",10,"Ratio",17.3485722610723
"269",20,"Ratio",16.1577626262626
"270",30,"Ratio",17.330179510783
"271",3,"Ratio",11.1550893550894
"272",6,"Ratio",16.1901772556945
"273",10,"Ratio",15.9617993524091
"274",20,"Ratio",15.6218623675175
"275",30,"Ratio",16.7247839849703
"276",3,"Ratio",12.0138888888889
"277",6,"Ratio",17.7931589760675
"278",10,"Ratio",16.7455862068966
"279",20,"Ratio",14.9626336889826
"280",30,"Ratio",16.8946678769259
"281",3,"Ratio",11.3968253968254
"282",6,"Ratio",18.3434782608696
"283",10,"Ratio",15.8233004926108
"284",20,"Ratio",14.9467171439671
"285",30,"Ratio",14.4761032301032
"286",3,"Ratio",16.6702898550725
"287",6,"Ratio",16.5375
"288",10,"Ratio",17.6761743691092
"289",20,"Ratio",17.3213862610674
"290",30,"Ratio",16.370821750153
"291",3,"Ratio",20.2488215488215
"292",6,"Ratio",16.349537037037
"293",10,"Ratio",17.5128243021346
"294",20,"Ratio",15.6579220779221
"295",30,"Ratio",17.1356114781714
"296",3,"Ratio",13.4714285714286
"297",6,"Ratio",14.6221102971103
"298",10,"Ratio",17.5746153846154
"299",20,"Ratio",17.6716085734189
"300",30,"Ratio",16.6386817108229
"301",3,"Ratio",16.1222222222222
"302",6,"Ratio",25.2481481481481
"303",10,"Ratio",16.4959956709957
"304",20,"Ratio",15.5656569887814
"305",30,"Ratio",15.7520389491138
"306",3,"Ratio",17.7121212121212
"307",6,"Ratio",14.8465409389322
"308",10,"Ratio",23.8088888888889
"309",20,"Ratio",15.7199768485082
"310",30,"Ratio",16.8883778258778
"311",3,"Ratio",12.2525252525253
"312",6,"Ratio",15.0075212255445
"313",10,"Ratio",12.2803846153846
"314",20,"Ratio",19.1841149068323
"315",30,"Ratio",15.1157278792061
"316",3,"Ratio",19.1028295376121
"317",6,"Ratio",15.5100925925926
"318",10,"Ratio",20.1744202898551
"319",20,"Ratio",16.4827236652237
"320",30,"Ratio",14.2843690844253
"321",3,"Ratio",15.2432170542636
"322",6,"Ratio",14.3281481481481
"323",10,"Ratio",13.8514682539683
"324",20,"Ratio",14.5168412814784
"325",30,"Ratio",15.5437075545022
"326",3,"Ratio",17.0444444444444
"327",6,"Ratio",14.2452196382429
"328",10,"Ratio",17.8046666666667
"329",20,"Ratio",16.9950129886356
"330",30,"Ratio",15.6873246284293
"331",3,"Ratio",19.4
"332",6,"Ratio",16.2637794198139
"333",10,"Ratio",15.7925
"334",20,"Ratio",15.9147444351514
"335",30,"Ratio",16.3036273065254
"336",3,"Ratio",19.6459948320413
"337",6,"Ratio",17.2731481481481
"338",10,"Ratio",17.2085754357844
"339",20,"Ratio",15.0129269534692
"340",30,"Ratio",16.0997438200631
"341",3,"Ratio",24.9444444444444
"342",6,"Ratio",12.6799663299663
"343",10,"Ratio",17.2273931623932
"344",20,"Ratio",17.1947543845044
"345",30,"Ratio",16.5671905523101
"346",3,"Ratio",20.6425120772947
"347",6,"Ratio",15.8967592592593
"348",10,"Ratio",18.1211111111111
"349",20,"Ratio",15.0963045243287
"350",30,"Ratio",14.8227103133138
"351",3,"Ratio",19.0972222222222
"352",6,"Ratio",15.2810606060606
"353",10,"Ratio",18.3842023685127
"354",20,"Ratio",16.8065304954399
"355",30,"Ratio",16.20342536103
"356",3,"Ratio",10.2964405964406
"357",6,"Ratio",14.645128706419
"358",10,"Ratio",14.8599358974359
"359",20,"Ratio",14.0462249194368
"360",30,"Ratio",16.6640580810729
"361",3,"Ratio",19.8611111111111
"362",6,"Ratio",15.9730431404344
"363",10,"Ratio",21.9846031746032
"364",20,"Ratio",16.0865632917807
"365",30,"Ratio",14.0416329574957
"366",3,"Ratio",15.2154882154882
"367",6,"Ratio",14.9981481481481
"368",10,"Ratio",16.429354005168
"369",20,"Ratio",17.7579882810305
"370",30,"Ratio",17.0625084175084
"371",3,"Ratio",28.3518518518519
"372",6,"Ratio",16.1577635327635
"373",10,"Ratio",14.5837984496124
"374",20,"Ratio",16.0061584249084
"375",30,"Ratio",17.0174362450545
"376",3,"Ratio",13.9968253968254
"377",6,"Ratio",14.3081150130063
"378",10,"Ratio",17.5941666666667
"379",20,"Ratio",17.753446969697
"380",30,"Ratio",15.5748101506729
"381",3,"Ratio",16.75
"382",6,"Ratio",15.7781362007168
"383",10,"Ratio",18.2830555555556
"384",20,"Ratio",15.5799808727858
"385",30,"Ratio",16.0495369220152
"386",3,"Ratio",21.1147342995169
"387",6,"Ratio",15.7583351632265
"388",10,"Ratio",18.4890598290598
"389",20,"Ratio",15.0823115294667
"390",30,"Ratio",15.7272804047804
"391",3,"Ratio",15.8222222222222
"392",6,"Ratio",15.1042390405294
